[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=89/100 loss=0.550671 grad_norm=0.282 action_cls=3.280874 action_acc=0.125
[train] epoch=2/8 step=90/100 loss=0.490229 grad_norm=0.363 action_cls=3.290107 action_acc=0.031
[train] epoch=2/8 step=91/100 loss=0.505137 grad_norm=0.315 action_cls=3.302731 action_acc=0.047
[train] epoch=2/8 step=92/100 loss=0.570469 grad_norm=0.272 action_cls=3.294111 action_acc=0.062
[train] epoch=2/8 step=93/100 loss=0.525269 grad_norm=0.271 action_cls=3.305180 action_acc=0.031
[train] epoch=2/8 step=94/100 loss=0.531227 grad_norm=0.433 action_cls=3.304294 action_acc=0.000
[train] epoch=2/8 step=95/100 loss=0.545223 grad_norm=0.362 action_cls=3.287150 action_acc=0.062
[train] epoch=2/8 step=96/100 loss=0.537837 grad_norm=0.406 action_cls=3.307888 action_acc=0.031
[train] epoch=2/8 step=97/100 loss=0.541776 grad_norm=0.399 action_cls=3.286409 action_acc=0.047
[train] epoch=2/8 step=98/100 loss=0.551214 grad_norm=0.466 action_cls=3.305262 action_acc=0.047
